VR_LANCAMENTO,Valores_aleatorios
422.99,1482835
55,291562
4.8,1533713
3.1,2637900
84,2433152
300,846956
693.92,3496853
68100,1933566
10.45,3761931
52,1083182
595.27,842228
1.2,2456798
60,839585
52,4887303
7.61,1690902
50,3629927
1.2,1784043
19.25,230437
0.17,274956
72,166345
3000,3360626
1000,3235092
12,72965
7.8,106215
49,2526811
25.24,1076348
3000,4463479
4.8,4611950
1000,2232151
500,605645
1.2,3352006
6144.54,2694366
1592.5,1919037
18030,2119393
49,1551600
4.8,1640044
0.01,2353693
1.2,1249477
1160,2700225
200,1357975
10.45,1164239
45.99,2674679
261.34,3432329
49,3099445
5,3977472
2000,282179
0.02,1756835
267.21,2442934
11,3909528
720,4951334
1118.6,3230229
39.38,1341761
5000,2135851
10.45,1179405
10.45,195579
10.45,2353595
10.45,2018778
3136.27,4816958
1.2,3857133
1.2,150175
42.52,1970980
578.9,310540
1.2,2968431
55,3176557
250,4440412
47.92,3152365
100,4120779
100,4859388
280,4712754
192,1336000
5500,1905024
1800,821779
10.45,3320832
0.04,341736
37,1543649
50,3672844
400,4201896
50,2916753
1.2,1164433
7.61,3939241
793.31,3256996
0.62,2062899
1064,819843
350,1369757
840,2245645
21.62,3688207
2476.43,4551342
10,472003
4.8,3830450
250,4147772
19.5,225855
35,328023
1000,4396957
1.31,3255166
0.35,1523719
60,2833627
150,3516152
100,308450
124.59,2721381
21,4569529
1594.27,2356017
17.58,4926625
350,752515
3.1,3815501
1.2,2154332
10.45,1492144
10.45,4270857
50,1003150
1313.75,2172813
76.06,75459
816.95,2542515
4.8,1957688
1.2,2350054
1.2,1478629
10.45,1072152
4.8,4673424
10.45,879146
10.45,2076759
8300,3536598
1.2,4345988
10.45,4596767
1.2,4639330
50,506255
1243.12,4813279
10,2084560
54.95,2074196
270,3076923
120,4017391
2.6,883944
700,4648340
19.25,3566373
180,3818267
1200,3285275
84,734988
21,2420315
306.38,1237931
68,1218284
636.8,4823788
200,1655734
1.2,4472018
140,2682787
176.12,23200
2.6,4445148
6.4,226596
1074.5,1654325
35,4975778
56.95,2565202
59.07,1776632
250.58,518117
0.23,2205957
101.77,32780
60,4585922
1.2,4716921
30,1046520
160,3589117
1.2,4614638
647.5,443151
1.75,296843
597.38,1887816
1.2,1003377
10.45,3690937
10.45,3940329
4.8,3412856
5000,453996
1.2,107655
72,1812744
83,3281540
10,642766
54.95,1722094
457.2,457361
580,2542256
140,2704497
10,3213704
7.95,3123797
400,4537300
50,3793084
1750,3513263
1000,891977
73.08,918084
1200,1874949
10.45,2092582
1559.27,1772259
682.61,2694713
1025.12,527768
4160.54,1737718
594.27,2540147
250,4829801
9.08,2306797
400,3189598
892.85,4247568
1600,3137627
8.5,3091939
59.15,4214529
52,3199684
7,1639313
260.26,3074348
1300,2758328
2534.88,3894040
900,4050419
19.69,2034986
100,4187357
4.8,3262490
250,1977184
1500,3372885
1354,8093
4.5,464575
1000,3063560
200,4142336
61.19,3222985
98.45,1170550
1.5,2327929
37.5,1832157
6500,327344
260.2,2276969
19.5,4930719
1500,4057287
500,1360801
1.5,2137477
5806.45,1575379
882.53,579041
15,214063
57,3039797
45,1085176
227.04,293978
193.22,2197522
6738.43,2089436
2.2,105200
2.6,4510880
2.6,3792991
0.35,4453461
11,3221318
1.2,4730611
2900,4331518
10.45,744420
898.6,4428521
10.45,2715235
10.45,65397
10.45,902807
1500,2709844
450,3638747
779.79,4877924
10,2029297
0.35,2565190
1980,4579032
800,4474956
594.27,2643623
5594.27,1850962
10.45,2445663
2574.9,3671347
3700.57,601561
282402,419487
6694,4756855
10.45,2018436
7217.83,3450774
500,867225
50,612771
10.02,1008639
5.95,3570258
583.79,1813681
882.53,3330084
5,4310802
39.7,830320
1200,2959068
4092.7,3247587
10.45,519758
110,975515
738.25,941908
0.01,4689639
5000,1025021
11,1635162
0.35,298286
140,1941086
50,3084762
274.25,4495953
100,3933693
30,1858919
346.27,3802143
22.25,2470144
54.95,1002450
54.95,734367
100,3099920
0.02,2575700
10,124443
78.76,4893625
15.66,4024337
1.2,1653264
2.6,4403692
7,3894820
1.2,2655666
92.16,936262
360,351029
39900,377804
300,3587256
1.2,3066254
181,4742935
2000,602560
54.95,1404138
2500,1546949
4.8,4903579
0.61,2931652
1747.33,491121
3.1,3603875
880,828287
50,264370
10.62,3513040
200,4408284
3.1,2512483
7.61,2210632
178.48,3164108
14.2,1339290
1.2,3517923
10.45,3145878
1.2,1111963
594.27,1018104
670.45,762080
1.2,4429134
10000,2202391
99,521225
126.09,1912506
45,2391163
326.78,577235
21,620111
10.45,4211491
42.5,2829982
250,4189797
4.8,1454595
700,2791200
100,3869572
120,1200725
4.8,3632200
2690.61,4112129
400,57185
32.19,3852037
6.4,3015055
1.2,653692
300,3642462
550,1004927
3641.16,197758
150,3946022
150,2141641
520,3300360
400,1100206
136.28,2852819
500,291655
752.53,991126
1000,606243
50,4433160
22.41,3572627
3,3411859
30,4996728
632387.2,1114703
35650,2830862
24.52,3506960
100,3601491
121.26,2529343
5625,3913201
5582.16,733780
2000,3071304
45,1655283
288.48,4911615
1820,2936585
20638.94,122171
746.14,3082740
15,1276033
10.45,1975
1857,2406188
305.9,3828199
52,3689433
0.55,3115284
250,1984714
19.69,1553793
3000,52348
528.03,1572057
39.38,596489
2666,3583023
19.69,4414145
234,2928983
1.2,1658501
898.6,1746003
10.45,1773790
9548.74,4374973
78.36,1915362
51.95,2067782
100,4599051
10.45,3349535
399.88,2166161
150,4518883
16990,1657095
210,4694538
50,878820
72,2682908
1.55,3717049
10.45,4895229
125.73,809950
2000,2048761
10,3675584
122.55,2714849
0.01,1722102
5200,1762269
11.43,619657
35,969962
10.45,1037060
2.72,4538283
99,3048472
46.68,4061441
1029,1731100
208.6,888885
19.25,891861
21,1282032
2163.13,2267748
11.18,13452
422.86,4775430
72,2763738
21,801419
500,1840337
550,3130395
1000,2765459
250,1622547
120,1297986
10.45,1091126
2048.5,2679368
19.25,3557679
2534.88,3396987
280,4577486
78.76,344030
4810,1648972
45,42800
54.95,3620587
120,550854
0.15,2943768
414.62,1166229
41.76,2614247
43.12,961608
2200,73489
100,1744187
2.6,3514432
104.64,2538123
0.35,4511156
10,1807448
1.2,1847649
3,586857
10.45,4729337
500,3466866
79.1,3241769
37.68,4578678
17.27,3202937
60,3599274
1000,904012
10.4,4010225
200,491052
99,1380896
17,629985
69,691159
45,4309138
1.2,3930478
4127.79,1141476
1.2,867561
2355.5,3259080
11000,659401
1.2,1319416
10000,548818
1686,2237541
200,2998692
3600,1886709
11.05,4127680
90,1940163
2602.25,1217129
72,3815773
111,3638004
428.4,4822348
3200,2268441
52,2115102
99,720629
550,2870186
300,381210
7800,2288348
1074.5,3362984
30,4402550
150,946280
101.65,3708467
4.8,2180027
200,974354
100,437981
678,645232
400,2139106
14500,4016243
29.92,4391839
36,4376345
36.5,3925847
120,1458977
3000,3007877
10,1141469
590,3192991
3.1,2546398
52.35,3181977
124.78,3531007
400,1631108
709.36,3967912
1.2,4090035
140,1788723
63.54,4565264
100,1492284
4.8,1610425
52,3079256
500,2575274
1064,3433864
1.2,2704016
789.62,4238624
99,984185
1724.9,689557
263.38,1784033
1299.64,1105467
7332.03,2292791
19.69,3720283
221.4,302684
54.95,3780129
84,4068660
583.63,4867671
220,1462174
3900,3953714
550.48,4560360
74.29,3663030
4360,1221448
1.2,421322
13.76,1221320
1950.84,2258224
1.2,1019877
20000,4600007
1.2,2892312
3274.25,3787681
9.45,31677
300,2961682
57.86,2294992
10.45,1442159
600,1394358
4.8,2059545
30,2930844
1000,3314248
28,4377122
155.05,4469629
3000,50562
69,213625
1125,791933
2000,4952910
10.45,2464230
32999.44,4634299
594.27,1424745
26,307621
2991.6,3916865
40,436998
21,2465068
52.35,672201
192.13,1171625
2.6,2517667
29.65,3484851
1.2,2817104
140,3009486
587.98,104758
10.45,222766
1,4236766
51.6,3638863
1000,1271192
52,2141034
22.25,1781767
500,4728919
4.8,1038609
84,4396631
4.8,2714221
19.69,2406518
66.12,2066908
19.25,4660831
310.68,311969
1200,1842471
385.67,1564794
1500,3006881
13.95,3352991
1564.55,1123670
7.61,4049517
500,179876
42,2164376
7.61,1113560
50,3404855
2.6,4123936
2.6,1338177
10.45,2702879
21.86,3639440
1000,4689007
5000,3348997
1594.27,4648766
2000,1742101
1.2,2049642
6898.6,1719071
1471,1268043
35.79,3577835
7.61,2675512
5.2,1443273
2960,3735280
1000,1330095
4000,3831973
67.87,4497130
72,2265637
1.2,605192
4.8,4204702
843.72,2030132
69,3479553
45,515699
35,2416174
720,3893903
80,3831079
52,3043376
12.9,3823050
4.8,1033622
22.25,109065
126.13,2742447
330.3,2967738
1939,1875554
40,4839839
50,2437851
2336,3964099
149,2441892
12,2710719
1000,2444271
400,4569578
18.86,2311541
1.2,2034633
350,3553238
10.45,1397104
1.2,4675862
500,2975829
140,4152303
159.73,4098417
10.8,3184590
622.11,2453134
10.45,2308092
10.45,3112551
3500,947142
10.45,3105451
37.5,2138893
45.25,3788056
10.45,2940799
72,864623
10,1122095
382,4868010
1000,348874
84,652526
5000,2702779
10.45,695439
92752.55,431054
69,1784876
69.05,4441765
193.1,1256434
6.5,2932350
6.4,2975337
4,3107305
10,3109776
2.6,4348593
43.85,859271
15.66,2098542
400,4167438
500,5719
42,1526196
109.47,3633920
200,913975
30,2709358
37.5,4244249
500,4220825
10.45,273401
15.5,245048
1350,1532102
27.58,3048203
5000,2108204
10.45,2798260
10.45,1798603
10.45,2878530
12360,765413
594.27,4152130
39.38,4714743
500,3398898
40,3283781
129.99,4789535
1500,3971999
24.64,2140038
452.5,4562206
280,624526
30.11,3958051
35.33,2814978
716.69,158722
21,569646
480,695043
72,2872702
4.8,2484916
84,766966
100.54,1863411
99.82,257021
531.21,4003208
357.26,160733
1750,4402313
1625,445372
280,61926
54.95,327370
1197,1574490
520,3170372
19.25,2563490
52.35,4994794
14.2,4425125
5000,102991
84,4857723
39.01,3453501
50,4215541
5,3281161
219.45,2905285
120,4917624
60,174403
300,4222159
50,3926311
10.45,3087270
373.49,3054768
1650,2601442
51.9,3882766
1.2,3765548
4890.65,137706
1050000,1692336
10,3977544
15.22,2882980
1.2,4082716
27.98,346458
5.7,1707445
81,2767206
1.2,2519493
12,2860939
500,1108271
520,3875061
1.2,3715404
120,4070802
89.16,3017166
268.01,3544704
1000,1466913
61.04,3680221
45,1588989
203.5,1767908
0.35,2386230
5576,3871807
2000,715
3.1,3743923
140,2931758
72,612440
1300,4695216
13.05,4996295
10,4555047
4.8,3604077
104.91,783917
52,463929
420,1793563
305,2180001
232.2,3857048
151.23,2652220
28,3471436
280,1326313
3896.53,4353997
0.21,2208745
8.2,1743505
50,3540559
260.26,1042039
1.2,2774946
10.45,1221934
555.18,2801866
4100,3435543
256.77,631201
106.68,1937957
2216,1701409
19.25,2214838
250,946953
86,912580
3258.8,601985
10.45,1394111
2.6,1275344
9,1716514
715,1167710
229.68,3599527
661.58,327526
53.51,4797946
3000,850229
500,4282189
1060.93,2068015
24766.72,4831170
2286,4122091
594.27,3716345
594.27,1010469
1.2,4447543
10.45,1550378
6022,3721825
0.24,436916
52.35,1422914
532.59,4816470
6.9,248482
6000,1310009
2.6,1267697
516,1584938
1.2,1700170
685.86,2697794
2400,695
2000,4201271
60,823660
383.67,4984715
4123.63,1641442
1058.01,4893847
1670.26,4404673
6191.68,3673013
10.45,2349928
8676,2943414
4300,4765404
32.85,2315324
150,2348271
350,1914063
629.1,4247648
81.31,665329
95.3,3468864
240,4126990
164.1,593601
675.3,2505312
0.35,244082
49,2549082
88,1551662
3800,3116794
1500,3663938
2482.81,462478
60,1125844
4.8,2179259
423.52,1442208
50,3415424
892.48,3963162
4.8,169015
0.06,924840
3124.51,2361
2,3756688
3200,599777
60,2590319
500,354784
240,1289084
668.11,4891221
893.42,706074
767.17,3763700
1.2,3419938
1359.18,2329228
10.45,1437045
1830,4944573
20,1598725
10.45,4450970
4420.14,4720364
1344.75,2634442
480,4345503
1250,1150038
37.5,125964
42,564760
329.41,127130
2.95,3424153
600,4702932
3.1,1440399
1.2,1301300
31.36,69212
200,4433530
1.5,3165231
75.97,3567122
49,3490344
1500,2263577
3794.3,4844769
144,4492313
15,2186536
280,1737883
1000,1004502
390,991510
500,4493426
45.01,2717341
603.15,3146950
58827.96,4692789
28.01,4773640
10000,3204968
220,2177135
0.3,3710732
100000,1727133
1950,4471917
35,4751873
478.99,3833625
10.6,4674809
1658.42,544804
692.05,3293799
260.26,1051826
1800,411435
78.76,2260908
90,3903901
300,1162256
400,3072585
3.1,4889240
45.03,602198
1.2,2806989
30,2426089
800,1793045
0.03,1585124
1597.89,2333098
73.85,757194
149,16173
833.62,774187
826.95,3853186
120,1498309
45,649068
1000,3786582
3,3179688
22.25,4727780
60,2204674
1513.48,2619112
10,3078242
1890,1347259
1189.39,4813639
10200,3839653
550.82,2827084
1.2,250319
10.45,3716188
1200,1724068
10.45,4380265
1.2,2696239
10.45,338575
3225,305727
3.1,2840486
3163.66,3422220
93,2621517
13.1,3554412
3000,4581957
3900,1306872
7,1084082
3500,316118
19.69,4965865
4.8,4918907
54.95,1941978
0.6,3204496
54.95,4286278
21,3442670
3078.56,4347256
350,1940725
339.55,640455
8000,4407446
1.2,4055215
2300.88,455204
250,2628631
2500,736823
1.2,3138529
10.45,2854997
60,1183049
0.35,4967994
1.2,4175857
579.98,720058
17172.72,3556239
1905,1952977
385,4228315
54.6,1367425
650,2904143
50,2279550
3671,4294939
700,4396833
52,1952824
35,2683711
150,4963246
36.66,4609322
468.13,1800895
4.8,4029210
400,767057
300,4583096
982.65,4386849
52,1077057
200,2051350
0.08,641432
583.63,2315838
0.15,2665698
175,3494919
6,3115815
4.8,3715957
5142.5,244167
1.2,991817
2612.5,2058855
72,3130503
7,3539870
1500,4512834
178.62,1226478
10.45,1705701
330,210452
1338.58,1820859
6500,4091261
53.51,4438085
1.2,2218096
882.53,4772805
1155.69,687867
50,4924744
100,3142509
2812.5,3066675
750,626318
52,3560920
21.95,489385
1.2,3354630
15.5,1569234
3500,273205
1000,1338081
63,4323324
37.5,2928317
967.73,1938527
19.69,2092114
20.25,1408685
2.39,1144287
100,2646407
80.29,656130
250,1942017
10,2107035
4.8,3585606
3881,648114
84,3411807
2100,2828412
1.2,2389731
750.91,1892478
960.81,900217
100,1943524
69,2687052
50,4451129
1188.85,1819189
11500,233354
36.5,116669
1.5,3691449
1.2,1630210
54.95,3449602
1.2,4830643
1.2,4090232
37.5,3197257
16.32,4065947
75,2630663
39.38,2081511
20,4897765
1687.04,1055286
19.69,4303846
2250,3509424
0.35,3729952
1118.6,4859618
1851.05,1792592
796.82,2251119
4632.33,1235207
150,1290138
1592.5,1338435
2000,4755807
4990,3876199
875.01,4072740
17.5,2119221
276.48,1191191
6500,3247644
1500,1712553
71.15,2078645
789.62,4096979
50,163152
3500,2327039
1.2,3658453
594.27,90307
2500,4454131
1200,3660042
10,1353438
10.5,4658000
200,1343442
2437.5,3077148
19.69,750256
2998.8,2816418
460,334086
37.5,2732700
47000,1347898
226.26,2346884
1571.43,3845533
19997.59,1114425
52,3216554
1.2,204171
35,3924337
24.52,3399000
2.6,2543214
1.2,222338
500,4268900
1.5,4627872
3,3707360
4.8,1021370
595,865757
934.4,1303081
45.4,1333795
600,4495416
1.3,766537
30.58,2665501
18786.29,4896051
500,3703701
53.51,1804311
52,2291912
3886.84,448996
103.11,3643438
0.35,575002
2.6,1983906
8.11,2661838
20929,2819591
0.3,3501878
25,320115
150,812106
3.1,1100089
2.6,1020795
455,1012210
383.66,4963755
250,3082992
1850,4418039
140,1670521
37.5,2411954
86.37,1311270
1400,4874308
50,1715778
765.05,318984
1.2,3896066
2987.2,3111056
52,14469
57.22,1936976
1.2,3359535
1000,3585103
300,922358
118,344045
1.2,3477724
37.5,3978940
790.67,3760353
2.6,350278
36.62,3240957
49,1702193
650,2385958
9.45,831865
3000,4423000
120,2911630
1596,718693
264.12,2169894
3.67,1651387
15.5,2811696
76,2825258
10000,1305477
60,4789745
273.62,628575
120,3125895
69,3491066
19.25,2142300
5.2,4259834
10.45,225032
56.65,2806803
800,167569
9533.33,430731
2189.35,3328493
2568.18,2584930
3907.56,1579591
52,1497922
1533.36,3948304
1272,3374320
1.2,2439817
7.95,441432
2.2,3518686
1400,328155
789.57,3931185
2982.37,4962554
52,1870684
1,1181934
300,1392340
431.4,2430950
69,4644047
53,3862139
2750,1142124
39.38,3294534
35,78030
76.06,656552
3896.53,769499
57.4,2590212
682.5,710114
2437.5,1661902
10.45,4789340
1000,856635
60,1979594
1.2,3271284
2000,1620468
2000,4580987
93.04,1040898
7039,4733651
278,4414858
380,4940601
480,2288851
51.46,3845043
54.95,1756648
2400,1143696
594.27,122983
384,3487724
4.8,2839179
1.2,748800
84,23925
2350,1920623
9.55,3182863
2.6,1779574
50.56,4407488
1200,1425219
1.2,3443903
261.25,1950563
10,3246968
0.5,1550482
1414,2728904
72,4937089
359.7,478842
639.6,3440098
60,1225726
50,234091
100,1170676
60,82520
80,4578921
280,4741337
84,1754745
34.47,1079374
180,845834
50,446608
56.95,1936186
300,4112720
0.35,2078605
1500,957585
160,4090902
724.62,3889423
455,1597205
25,4474153
2.6,2790545
282.72,858862
1200,903178
165.2,1169632
227.08,3264652
1.2,3568988
45,1642691
2.6,1286843
5000,2473810
349.55,1801000
69,4894653
60.23,4382543
280,274151
3175,1670950
89.95,900615
4.8,3893419
229.87,3086550
1.2,3962829
4.8,2610729
428,1102656
1.5,4670051
84,886917
79.5,3968795
4.8,4445589
9190,1288362
1.2,2734852
16659.2,3415055
4123.63,1615277
350,4852126
2696,720250
10.45,2594063
3500,4319791
75,2715265
1.2,1463574
115.89,3675572
58.7,4917475
1299.3,3849793
110,4986415
21,1836427
274,65799
535.58,4478015
200,3474528
1.2,4319728
750,3887426
10.45,4751368
70.85,4089967
1272,1858133
492.25,1180494
3.1,1160293
1.2,4706456
1000,2058458
30,4813587
10.45,3980308
509.58,1864438
140.24,512559
890,1824972
16.95,1797839
200,95859
1000,734120
81.68,859580
744.16,4601040
10000,2441907
10.45,238157
10.45,4262201
6.2,1368895
13.2,878059
10.45,2564423
390,2267128
120,3642359
41.07,763192
417.3,3403925
19.25,1113996
2524.25,2948971
120,202661
1800,3432184
37.5,4098648
300,4793156
30,3599858
1400,3117036
455,3727038
2534.88,2435843
39.38,4436939
963.75,1142374
4.71,2506529
19.69,451490
19.69,1326765
400,51271
487.5,933259
682.5,915322
49,1888118
52,2741556
3566.03,301663
2000,3161777
52,2012593
2982.37,273684
250,3258290
244.95,3637877
78.76,1199196
130,2175411
1807.69,99815
10.45,4489026
300,1834003
52,2856466
594.27,1729180
369989.5,2639547
1.2,2562853
1.2,3897940
1618.31,4435457
27449.84,3881924
10.45,3098745
95.81,2554988
2500,2614297
36.62,4665438
53.35,3832832
6600,4715476
39.38,1957598
1100,2808320
60,1470639
19.25,4560982
86,3629105
1.2,1532250
4.8,3406175
1153.29,787601
53.98,4126157
72,2857827
10,2702015
4000,2797404
4.8,285596
719.96,3927705
20,831354
150,1441895
97489.55,418761
2.37,4011542
3000,2480889
519.09,3361394
57.4,2244086
323.79,1444575
10.45,2279135
10,2293423
10,506238
6.45,3315704
2973.3,2922184
0.01,4784968
273.62,421099
52.32,891182
200,4519825
42,4852750
126.71,1831076
280,385526
11.57,3343180
1000,1093808
220,846160
1.2,330791
1173.95,512005
280,2549865
350,1782149
500,1755722
5000,1800116
1.2,3964113
2015,3305192
4.8,1985856
4.85,3811077
2670,703545
122.68,226765
94.24,1105183
21.72,4611259
10.45,4749954
347.9,1336724
1.2,158513
47.55,1558654
20,3497129
288.61,3500143
280,1117867
50,2048403
1200,3848667
1382.47,1477548
312.25,668168
2.6,4014762
55,565738
19.69,3009170
15000,1743135
500,33620
1898.6,4194779
2500,4295400
24716.72,1140631
6350,360697
1100,1923817
0.35,4064775
10.45,4364977
54.95,1490454
42,4613202
68,3545132
4000,3443065
101.54,1375803
594.27,2439437
147.92,2300379
10.45,4518508
2000,2728007
336.52,279604
0.08,2672847
2690.61,873163
20,3962976
77.15,2666397
4.8,1159930
200,3135958
3705.74,1094061
2387,1056842
10.45,2653887
120,4132858
2310.55,4384772
140,1896171
1742.85,396684
100,4514555
1222,2286827
37.5,3514613
21,1275829
7,3762979
30,3587251
45,2879174
120,290271
69,2080600
72,3000715
0.02,2101790
21,3691999
49,539371
155.52,1995330
0.5,132092
37.5,2112655
100,3248826
173.72,1385964
2000,4506295
10.45,4460073
35,494077
1500,4799340
800,651198
523.39,3223927
55,1328956
2670,3742401
19.69,1565064
19.69,163957
154.28,2884202
10,3352690
1.2,3111930
5000,1578732
131.04,2089635
1000,3084427
200,3472553
469,1539276
5000,1785332
2.95,3367646
250,4383283
45,1022152
500,3978015
60,2250940
54.95,2904638
104.86,3231516
3780,1638787
300,2317126
260,4136662
42,4820785
36.35,2125131
3.6,3474362
54.95,4035496
15,452423
6.45,4273971
10.45,4155784
69,3112527
3.1,4930243
19.25,4159638
600,4207637
50,3338678
10.5,3246024
0.07,1009543
10.45,2658520
300,3200777
250,1389818
1000,4369673
1.2,4276517
241.54,2329890
52,1610059
22.25,2524295
37.5,2644302
19.69,4138068
1154.9,2780722
1003.41,3215526
118.89,4035190
55873,3928371
759.55,4554047
50,4068076
100,3845673
43.75,1351978
32.67,16536
144.5,4987827
546,1408670
2.6,1132060
15.5,4323541
127,965728
4,4945144
346.27,4597357
280,1339503
3900,1325859
350,3126274
69.5,1509020
35,745943
10,2195429
10,1857109
1.2,1734083
43.28,4657305
130.4,281906
15,3728723
43.95,1399303
1212.43,3537345
2000,427567
7,228709
2898.6,4712534
1219.94,4065754
520,3543533
177.44,765154
2000,1226449
299.08,1907732
1094.27,3740241
35,661236
52,1007904
53,3289170
46.71,3446493
1127.5,531438
450,1391556
3544.57,4916734
1.2,917131
7,1486090
10.45,1968586
1.2,4832427
6000,1166535
2163.67,3752923
2500,1634264
1.2,3752427
1.2,4621649
1.2,4581403
166.44,3126495
37.5,4427824
280,1699707
1.2,2235536
72,1506770
3.25,2001860
6,300905
9.5,3310040
10.45,39794
27000,1872165
500,4836864
7,3972291
60,2711330
6.5,4640018
15.5,3694766
350,1021964
10.45,4313766
32,4365024
10.45,1769650
42.5,716637
86.96,4058254
10.45,1599139
1000,2598837
2.69,2195205
52,3912299
96.18,4078898
69,4421106
59.07,4591105
39.01,3017144
275,3458171
143.58,541668
250,342769
19.69,3948861
53.51,4247860
1494.16,3362635
2000,411179
1107.51,4187929
10,1384037
10,4725270
49,3922041
2000,26355
30,2666797
1998.8,811497
1.2,2611786
400,3408921
4.8,3486812
200,3308786
0.91,2430974
50,1163935
6,4340423
52.35,3628286
700,1770276
384,1894346
900,3456073
39.38,801199
20000,4444189
1950,4787483
6888,3433097
1000,4106599
1398.18,2828275
2879,2992755
42.5,340430
12.61,316539
60,4034946
69,4217958
3124.51,264423
346.27,3305561
2.6,2766279
400,3809348
1200,3463776
5142.5,3224105
37.5,2906522
40,2069136
2.6,683966
10.45,1250911
150,1326615
40.26,1723421
4.8,1196142
19.25,4252274
30,572269
10,4949057
52,838380
500,3340906
1197.96,2866477
1900,2937786
1.5,222563
120,1664214
88,3883942
856.36,996696
4.8,995717
250,4547886
99.98,1642913
132000,4204509
1680,1946030
60,2662208
1200,4637467
45,4060436
745,937327
2067,1260024
3.45,1038271
0.17,2240999
2151.66,4022050
1125,3165312
140,165151
200,1207966
1330,2807282
158,4662444
223.28,1073060
400,1407958
1.2,2270206
200,1323550
5.27,1886848
180.65,3499469
386,740895
49.14,1335195
100,2809950
111.9,1344333
264.95,1077756
5500,936493
2915.52,7261
2.88,561044
10.45,3393344
20000,2248516
129.2,4807435
6665.4,1036578
67.4,617450
85.82,201236
727.85,1946853
285.82,4213489
1.2,1725689
132.27,3211871
1620.52,3337569
4230,4026944
10.45,4222037
4898.6,2174704
10.45,211834
25144.46,777988
9.5,17221
4.8,3951222
145,3039227
352.15,3970050
180,3310298
35.79,1462316
124.8,2214688
6.4,716463
80,4998970
100,187062
37.5,1605907
2203.02,1291888
52.35,4503378
31900,2027923
10,4152492
100,2101119
10,1024345
1064,1846947
20,905772
2600,1724733
0.11,1394640
2100,2414280
1545,1507981
5.11,4227903
45.01,4614583
47.18,4140111
1500,4495981
31.77,4460111
43.75,2393418
120,1938201
74.8,2911294
52,2841739
840,3062238
793.31,1622654
1004.38,3519494
42,1436456
39.38,1832446
73.2,4485950
350,2538700
200,2545686
10.3,2309576
55,2685929
385,1214823
200,421055
121.7,2593080
100,132135
0.08,3258712
50,797508
2156.37,2509056
1832.13,3586707
71.31,915121
400,3420522
0.1,3352466
120,580109
4.8,4987504
17.07,3786173
100,4090616
850,1601208
1038.4,4823553
37.5,4818052
50,4530823
19.29,3106255
10.44,2104812
11.05,4042725
0.03,2361606
5510.8,1836789
41.76,3369513
4.8,2121087
325,3782454
200,4033010
1680,695160
10.45,231180
84,2329442
1100,3088455
160000,2165854
1.2,4019086
36800,4123182
10.45,1545570
10.45,585090
1.2,2487531
2701.21,4607352
37.5,907831
4.8,1193395
1.79,623085
193,3760977
1358.2,3229844
6.95,3484035
1001,2756021
19.25,3254873
1001,971857
500,1668122
340,3447801
60,2564310
3400,1572317
50,708310
1.2,2342780
75,2205002
60,1415105
255,3444032
3,3139124
42.95,4983276
10.45,3898951
36,2583914
1150,1025291
584.89,3348966
77.32,4800100
4.8,4929903
1500,448711
2000,4767649
4.8,48574
52,3284203
10800,4299710
4267,71407
52,3824809
10.45,50075
19.69,2951915
45,2953006
